Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,38.1,-21.43125,0,bottom
C2,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,47.625,-22.225,90,bottom
C3,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,50.00625,-22.225,90,bottom
C4,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,129.86875,-124.61875,0,bottom
C5,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,129.86875,-127.79375,0,bottom
C6,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,114.3,-115.8875,90,bottom
C7,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,117.475,-116.68125,180,bottom
C8,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,103.98125,-130.175,90,bottom
C9,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.0625,-134.14375,0,bottom
C10,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,123.03125,-121.44375,0,bottom
C11,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,103.98125,-121.44375,-90,bottom
C12,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.3625,-118.26875,180,bottom
C14,100uF,C_Elec_6.3x5.4,304.00625,-85.725,-90,bottom
D1,D,D_SOD-123,17.4625,-26.9875,90,bottom
D2,D,D_SOD-123,57.15,-26.9875,90,bottom
D3,D,D_SOD-123,76.99375,-26.9875,90,bottom
D4,D,D_SOD-123,96.8375,-26.9875,90,bottom
D5,D,D_SOD-123,116.68125,-26.925,90,bottom
D6,PRTR5V0U2X,SOT-143,42.8625,-22.225,180,bottom
D7,D,D_SOD-123,146.05,-26.9875,90,bottom
D8,D,D_SOD-123,165.89375,-26.9875,90,bottom
D9,D,D_SOD-123,185.7375,-26.9875,90,bottom
D10,D,D_SOD-123,205.58125,-26.9875,90,bottom
D11,D,D_SOD-123,234.95,-26.9875,90,bottom
D12,D,D_SOD-123,254.79375,-26.9875,90,bottom
D13,D,D_SOD-123,274.6375,-26.9875,90,bottom
D14,D,D_SOD-123,294.48125,-26.9875,90,bottom
D15,D,D_SOD-123,318.29375,-26.9875,90,bottom
D16,D,D_SOD-123,17.4625,-50.8,90,bottom
D17,D,D_SOD-123,37.30625,-50.8,90,bottom
D18,D,D_SOD-123,57.15,-50.7375,90,bottom
D19,D,D_SOD-123,76.99375,-50.8,90,bottom
D20,D,D_SOD-123,96.8375,-50.8,90,bottom
D21,D,D_SOD-123,116.68125,-50.8,90,bottom
